empId,empName,totalWorkingHours,totalOvertimeHours,totalLeave,totalAttendance,empLeaveLeft
4,Dara Rogers,129,32,1,19,9
8,Tad Simens,102,15,1,19,9
12,Lois Goulden,110,20,2,18,8
16,Herbert Hayton,118,25,2,18,8
19,Jackie Brevig,145,21,1,19,9
23,Charles Caballero,130,13,3,17,7
27,Bradley Strait,122,14,3,17,7
34,Donald Vasko,108,21,2,18,8
36,Donna Carter,126,17,4,16,6
38,David Grizzle,101,14,2,18,8
2,Gary Mongelli,86,15,4,16,6
13,Delicia Smith,114,5,4,16,6
17,Connie Cruz,121,20,3,17,7
21,Lee Pugh,152,42,0,20,10
25,Gregory Dugue,150,30,0,20,10
33,Ronald Tiner,138,36,3,17,7
35,Rosa Driscoll,92,11,3,17,7
37,Miriam Pelletier,101,6,3,17,7
39,Mary Snyder,128,8,3,17,7
40,Chris Lara,119,33,1,19,9
3,Daphne Thomas,110,15,4,16,6
6,Jose Bell,114,31,3,17,7
14,Nancy Gose,117,25,1,19,9
18,Evelyn Haggerty,157,23,0,20,10
22,Christal Deloye,153,51,0,20,10
26,Jill Lee,118,15,1,19,9
28,Brandon Francois,140,27,2,18,8
29,Alfonso Lennon,126,22,2,18,8
30,Dwayne Fuchs,151,21,0,20,10
31,Rose Redman,131,32,4,16,6
1,Cynthia Davis,130,34,2,18,8
5,Ernestine Aragon,116,29,1,19,9
7,Ellen Baker,142,23,1,19,9
9,Noreen Jacobs,132,16,1,19,9
10,Lucy Ruderman,113,20,3,17,7
11,Ralph Bellman,125,33,1,19,9
15,Dean Whitt,146,30,1,19,9
20,Anthony Murphy,112,29,0,20,10
24,Nicole Brauer,131,47,2,18,8
32,Jessica Alvarez,124,7,2,18,8
41,Samantha Steward,85,15,3,17,7
44,Rosie Marcus,117,12,2,18,8
46,Elida Sim,96,13,4,16,6
47,Suzanne Jackson,116,20,0,20,10
50,Anne Wilson,122,16,2,18,8
51,Bobby Jorgensen,117,13,2,18,8
54,Eva Bradley,74,19,5,15,5
57,Annette Hamilton,94,12,3,17,7
59,Myles Romie,127,15,1,19,9
62,Stanley Beene,115,14,2,18,8
45,Andrea Cunningham,121,16,2,18,8
56,Vivian Casey,106,17,5,15,5
66,Francesca Anderson,125,14,1,19,9
72,Charles Gilkey,114,23,1,19,9
73,Dale Perdomo,120,33,3,17,7
76,Pamela Pace,115,22,4,16,6
77,Sheila Robinson,121,21,1,19,9
78,William Orndorff,111,10,4,16,6
79,Annette Bowling,103,30,2,18,8
80,Danielle Lyons,145,39,0,20,10
42,Ricardo Mcelwain,102,16,4,16,6
48,John Hahn,120,33,2,18,8
53,Wilma Mann,123,17,1,19,9
61,Jeffery Robbins,116,16,4,16,6
64,Sheldon Kautz,117,30,1,19,9
65,Viviana Caron,113,14,3,17,7
67,Michael Davis,92,12,2,18,8
68,John Sharpe,138,38,1,19,9
69,James Cornelison,108,23,2,18,8
70,Leslie Ruybal,134,25,3,17,7
43,Roger Thomason,120,38,2,18,8
49,Jamie Strickland,137,28,1,19,9
52,Michael Peters,109,29,1,19,9
55,Christopher Denson,130,21,2,18,8
58,Michael Carter,99,18,3,17,7
60,Crystal Beatty,117,18,1,19,9
63,Roberto Williams,105,34,4,16,6
71,Todd Bridges,145,24,1,19,9
74,Bruce Martin,114,27,2,18,8
75,George Dunagan,129,24,3,17,7
93,Asuncion Walker,120,24,2,18,8
99,Arthur Cooper,133,21,1,19,9
81,Clemente Ramos,135,19,2,18,8
84,Mary Kountz,111,8,5,15,5
86,Elizabeth Edwards,138,13,1,19,9
89,Julie Johns,123,14,2,18,8
91,Consuelo Crowell,99,23,2,18,8
94,Lavern King,111,21,1,19,9
96,Amber Sauls,105,30,0,20,10
97,Casimira Anderman,98,18,4,16,6
100,John Berger,111,19,5,15,5
82,Ricky Sharpe,114,41,1,19,9
83,Betty Webster,131,25,1,19,9
85,Megan Graddy,137,25,1,19,9
87,Lois Richardson,106,20,1,19,9
88,Wilmer Wallace,120,11,3,17,7
90,Pearlie Klein,124,26,1,19,9
92,Steve Losoya,105,19,3,17,7
95,Douglas Johnson,148,24,1,19,9
98,Doris Larkin,121,27,2,18,8
